ticker,cik,sector,entry_date,market_cap_at_entry,outcome_class,forward_return_3yr,form4_filings_parsed,form4_purchases_count,form4_purchases_value,form4_sales_count,form4_sales_value,form4_net_direction,form4_net_value,form4_buy_sell_ratio
NEU,0001282637,Materials,2022-03-31,5992235209,winner,0.7463,9,0,0,2,387458,NET_SELLING,-387458,0
OLN,0000074303,Materials,2020-09-30,3301122440,winner,3.0372,20,6,601105,0,0,NET_BUYING,601105,999
VKTX,0001607678,Health Care,2020-09-30,3844487458,winner,0.9021,16,0,0,8,1643227,NET_SELLING,-1643227,0
PSN,0000275880,Industrials,2020-09-30,5725389382,winner,0.6205,20,1,265367,0,0,NET_BUYING,265367,999
CXT,0000025445,Information Technology,2020-09-30,2370155216,winner,2.1918,20,2,79609,9,1917500,NET_SELLING,-1837891,0.042
ADC,0000917251,Real Estate,2016-03-31,7979303816,winner,0.7751,20,10,1440848,4,664619,NET_BUYING,776229,2.168
VKTX,0001607678,Health Care,2022-03-31,3844487458,winner,7.05,13,1,113800,10,646456,NET_SELLING,-532656,0.176
ELF,0001600033,Consumer Staples,2020-09-30,3771938748,winner,4.9788,20,0,0,16,3970099,NET_SELLING,-3970099,0
KNSL,0001669162,Financials,2020-09-30,7804444967,winner,1.1776,20,2,394239,63,16693791,NET_SELLING,-16299552,0.024
WEX,0001309108,Financials,2022-03-31,6020282736,trap,-0.1201,20,0,0,38,2551099,NET_SELLING,-2551099,0
KNSL,0001669162,Financials,2018-12-31,7804444967,winner,3.2817,20,0,0,13,3817733,NET_SELLING,-3817733,0
BFAM,0001437578,Consumer Discretionary,2022-03-31,4657162733,trap,-0.0426,20,0,0,17,13529107,NET_SELLING,-13529107,0
ARW,0000007536,Information Technology,2020-09-30,7473160968,winner,0.5922,20,0,0,10,8584306,NET_SELLING,-8584306,0
LOPE,0001434588,Consumer Discretionary,2022-03-31,4866850278,winner,0.7817,20,0,0,8,1553203,NET_SELLING,-1553203,0
AVTR,0001722482,Health Care,2020-09-30,5222522779,trap,-0.0627,20,0,0,20,2091821150,NET_SELLING,-2091821150,0
KBR,0001357615,Industrials,2020-09-30,4970535826,winner,1.636,20,4,200957,13,1780647,NET_SELLING,-1579690,0.113
VVV,0001674910,Consumer Discretionary,2020-09-30,4404032484,winner,0.6933,20,0,0,25,1978543,NET_SELLING,-1978543,0
WFRD,0001603923,Energy,2022-03-31,6988881108,winner,0.6081,20,0,0,11,6077259,NET_SELLING,-6077259,0
GNTX,0000355811,Consumer Discretionary,2022-03-31,5009665761,trap,-0.2012,20,0,0,22,7014866,NET_SELLING,-7014866,0
THO,0000730263,Consumer Discretionary,2022-03-31,4334218036,trap,-0.0367,20,4,2279409,4,6547398,MIXED,-4267989,0.348
PCTY,0001591698,Industrials,2022-03-31,6205156525,trap,-0.0896,20,0,0,138,126956592,NET_SELLING,-126956592,0
UGI,0000884614,Utilities,2020-09-30,7868600529,trap,-0.3026,20,8,1117563,2,1743373,MIXED,-625810,0.641
SIRI,0000908937,Communication,2020-09-30,7774740638,trap,-0.1567,20,0,0,0,0,NET_SELLING,0,0
CACC,0000885550,Financials,2022-03-31,5328154730,trap,-0.0618,20,0,0,66,75697509,NET_SELLING,-75697509,0
ST,0001477294,Industrials,2022-03-31,5313580956,trap,-0.5227,20,0,0,20,25579978,NET_SELLING,-25579978,0
CUZ,0000025232,Real Estate,2020-09-30,3651645370,trap,-0.2875,20,1,64250,15,2611499,NET_SELLING,-2547249,0.025
ELF,0001600033,Consumer Staples,2022-03-31,3771938748,winner,1.4309,20,0,0,45,23053248,NET_SELLING,-23053248,0
KNSL,0001669162,Financials,2022-03-31,7804444967,winner,1.1345,20,0,0,28,4730873,NET_SELLING,-4730873,0
POST,0001530950,Consumer Staples,2022-03-31,5407007499,winner,0.68,20,2,245187,1,21573,NET_BUYING,223614,11.365
MSM,0001003078,Industrials,2022-03-31,4998275498,trap,-0.0885,20,0,0,2,1404547,NET_SELLING,-1404547,0
MDU,0000067716,Utilities,2022-03-31,4215351866,winner,0.6693,20,0,0,9,3446562,NET_SELLING,-3446562,0
CAR,0000723612,Industrials,2022-03-31,4900715279,trap,-0.7117,20,0,0,12,15906615,NET_SELLING,-15906615,0
HXL,0000717605,Industrials,2022-03-31,6534341716,trap,-0.0792,20,0,0,19,3265801,NET_SELLING,-3265801,0
LPX,0000060519,Materials,2022-03-31,5050586645,winner,0.4807,20,0,0,17,6256742,NET_SELLING,-6256742,0
EXP,0000918646,Materials,2022-03-31,6122263056,winner,0.729,20,0,0,21,17971516,NET_SELLING,-17971516,0
FR,0000921825,Real Estate,2022-03-31,7701313132,trap,-0.1284,20,0,0,3,1655496,NET_SELLING,-1655496,0
UGI,0000884614,Utilities,2022-03-31,7868600529,trap,-0.087,20,2,2630148,3,8146055,MIXED,-5515907,0.323
HR,0001360604,Real Estate,2022-03-31,6034111251,trap,-0.385,16,0,0,4,1084889,NET_SELLING,-1084889,0
HALO,0001159036,Health Care,2016-03-31,7794353483,winner,0.7086,20,1,172384,6,1133277,NET_SELLING,-960893,0.152
NNN,0000751364,Real Estate,2022-03-31,7895986908,trap,-0.051,20,0,0,5,0,NET_SELLING,0,0
AVTR,0001722482,Health Care,2022-03-31,5222522779,trap,-0.5207,20,0,0,23,5040806,NET_SELLING,-5040806,0
SIRI,0000908937,Communication,2022-03-31,7774740638,trap,-0.6594,20,0,0,5,4845309,NET_SELLING,-4845309,0
EXP,0000918646,Materials,2020-09-30,6122263056,winner,0.9291,20,0,0,11,1320656,NET_SELLING,-1320656,0
SON,0000091767,Materials,2022-03-31,5265675533,trap,-0.2449,20,0,0,0,0,NET_SELLING,0,0
FBIN,0001519751,Industrials,2020-09-30,4733910131,trap,-0.1594,20,0,0,15,34305760,NET_SELLING,-34305760,0
GPK,0001408075,Materials,2020-09-30,2804003149,winner,0.5813,20,7,109389,12,4863865,NET_SELLING,-4754476,0.022
IRDM,0001418819,Communication,2020-09-30,3081236533,winner,0.7783,20,0,0,25,17238853,NET_SELLING,-17238853,0
BFAM,0001437578,Consumer Discretionary,2020-09-30,4657162733,trap,-0.4642,20,0,0,19,4756190,NET_SELLING,-4756190,0
HALO,0001159036,Health Care,2022-03-31,7794353483,winner,0.6001,20,0,0,32,20645135,NET_SELLING,-20645135,0
ST,0001477294,Industrials,2020-09-30,5313580956,trap,-0.1233,20,0,0,15,1339710,NET_SELLING,-1339710,0
TNL,0001361658,Consumer Discretionary,2022-03-31,4714759913,trap,-0.2011,20,0,0,10,1855005,NET_SELLING,-1855005,0
LAZ,0001311370,Financials,2020-09-30,4651601254,trap,-0.0617,20,0,0,5,6621738,NET_SELLING,-6621738,0
RLI,0000084246,Financials,2020-09-30,5258084694,winner,0.6226,20,0,0,0,0,NET_SELLING,0,0
KD,0001867072,Information Technology,2022-03-31,2983143457,winner,1.3933,20,2,248371,4,1142889,NET_SELLING,-894517,0.217
BC,0000014930,Consumer Discretionary,2022-03-31,4816121561,trap,-0.3343,20,0,0,21,9671556,NET_SELLING,-9671556,0
WSC,0001647088,Industrials,2020-09-30,3386959905,winner,1.4934,20,0,0,4,5141885,NET_SELLING,-5141885,0
HXL,0000717605,Industrials,2020-09-30,6534341716,winner,0.9416,20,1,902958,6,966376,MIXED,-63418,0.934
CAR,0000723612,Industrials,2020-09-30,4900715279,winner,5.8271,20,20,45442354,8,300133,NET_BUYING,45142221,151.407
FCN,0000887936,Industrials,2020-09-30,6152438679,winner,0.6836,20,0,0,13,4096129,NET_SELLING,-4096129,0
REXR,0001571283,Real Estate,2022-03-31,7579812077,trap,-0.4751,20,0,0,4,9733413,NET_SELLING,-9733413,0
GXO,0001852244,Industrials,2022-03-31,6181472916,trap,-0.4522,20,0,0,13,557968888,NET_SELLING,-557968888,0
OLLI,0001639300,Consumer Discretionary,2020-09-30,5546782881,trap,-0.1164,20,0,0,17,10507584,NET_SELLING,-10507584,0
FBIN,0001519751,Industrials,2022-03-31,4733910131,trap,-0.0411,20,0,0,19,9068207,NET_SELLING,-9068207,0
PSN,0000275880,Industrials,2022-03-31,5725389382,winner,0.53,20,2,1645297,16,3874348,MIXED,-2229051,0.425
THO,0000730263,Consumer Discretionary,2020-09-30,4334218036,trap,-0.0014,18,7,683893,12,1634187,MIXED,-950294,0.418
STAG,0001479094,Real Estate,2022-03-31,6776032389,trap,-0.1265,20,0,0,4,2544399,NET_SELLING,-2544399,0
MSM,0001003078,Industrials,2020-09-30,4998275498,winner,0.551,19,0,0,2,60896,NET_SELLING,-60896,0
MTN,0000812011,Consumer Discretionary,2022-03-31,4871853059,trap,-0.3852,20,0,0,59,94466380,NET_SELLING,-94466380,0
LEA,0000842162,Consumer Discretionary,2022-03-31,6541078693,trap,-0.3813,20,0,0,15,5202196,NET_SELLING,-5202196,0
CHH,0001046311,Consumer Discretionary,2022-03-31,4744768677,trap,-0.0633,20,0,0,12,1608117,NET_SELLING,-1608117,0
HR,0001360604,Real Estate,2020-09-30,6034111251,trap,-0.493,17,5,166088,8,9562787,NET_SELLING,-9396700,0.017
LPX,0000060519,Materials,2020-09-30,5050586645,winner,0.8729,20,0,0,5,2092111,NET_SELLING,-2092111,0
KBR,0001357615,Industrials,2022-03-31,4970535826,trap,-0.0899,20,0,0,20,2478795,NET_SELLING,-2478795,0
INGR,0001046257,Consumer Staples,2022-03-31,7177270338,winner,0.5515,20,0,0,11,103291,NET_SELLING,-103291,0
LSTR,0000853816,Industrials,2022-03-31,5522374163,trap,-0.0042,20,2,379501,11,6220418,NET_SELLING,-5840918,0.061
AVT,0000008858,Information Technology,2020-09-30,5294079260,winner,0.8649,20,1,100964,5,428181,NET_SELLING,-327217,0.236
OLLI,0001639300,Consumer Discretionary,2022-03-31,5546782881,winner,1.7086,20,0,0,8,223757,NET_SELLING,-223757,0
ADC,0000917251,Real Estate,2020-09-30,7979303816,trap,-0.132,20,13,434742,6,1322423,MIXED,-887681,0.329
