case_id,ticker,entry_date,outcome_class,forward_return_3yr,keyword_density_score,trajectory_classification,word_count_current,word_count_prior,density_current,density_prior,density_delta,word_count_change,new_paragraph_ratio
CASE-BIIB-2013-01-02-7553e7,BIIB,2013-01-02,winner,1.042,1,deteriorating,6839,6997,23.4,21.3,2.1,-0.023,0
CASE-EXPE-2021-12-31-1312f8,EXPE,2021-12-31,underperform,0.026,1,deteriorating,11934,14501,20.4,17.9,2.5,-0.177,0
CASE-ADM-2021-12-31-cf4a10,ADM,2021-12-31,trap,-0.197,1.25,deteriorating,510,253,25.5,27.7,-2.2,1.016,1.5
CASE-APD-2021-01-04-ca034a,APD,2021-01-04,underperform,0.085,0.5,deteriorating,4494,4371,26.9,24.9,2,0.028,0
CASE-WM-2013-01-02-349bad,WM,2013-01-02,winner,0.734,1.5,deteriorating,7070,5731,22.9,21.5,1.5,0.234,0.19
CASE-MDLZ-2021-12-31-8b9d57,MDLZ,2021-12-31,trap,-0.035,2.25,deteriorating,13820,9225,12.3,8.7,3.6,0.498,0.72
CASE-VNO-2021-12-31-2438d1,VNO,2021-12-31,underperform,0.141,0.75,deteriorating,11477,10685,22.3,20.7,1.6,0.074,0.08
CASE-WMT-2021-12-31-913fa4,WMT,2021-12-31,winner,0.947,0,stable,5831,5643,17,17.4,-0.4,0.033,0
CASE-D-2021-01-04-531112,D,2021-01-04,trap,-0.258,0.75,deteriorating,10690,12458,7.5,6.4,1.1,-0.142,0.19
CASE-CNX-2013-01-02-1a885f,CNX,2013-01-02,trap,-0.739,0.5,deteriorating,13220,11512,15.7,17.3,-1.6,0.148,0.13
CASE-LMT-2021-12-31-65f7ec,LMT,2021-12-31,winner,0.468,1,deteriorating,12557,13484,19.4,6.6,12.8,-0.069,0
CASE-XEL-2021-12-31-858855,XEL,2021-12-31,underperform,0.081,0.5,deteriorating,6145,5601,22.6,23,-0.4,0.097,0.17
CASE-BDX-2015-12-31-80f315,BDX,2015-12-31,winner,0.493,1,deteriorating,4363,6136,30,25.3,4.8,-0.289,0
CASE-STZ-2019-01-02-ff060d,STZ,2019-01-02,underperform,0.602,1,deteriorating,6220,7618,26.7,24.7,2,-0.184,0
CASE-ACN-2015-12-31-6eb38c,ACN,2015-12-31,mixed,0.425,0,stable,12081,12375,22.3,22,0.3,-0.024,0
CASE-EFX-2013-01-02-8ad141,EFX,2013-01-02,winner,1.116,0.75,deteriorating,4623,3943,20.8,22.1,-1.3,0.172,0.1
CASE-NBR-2013-01-02-99e64e,NBR,2013-01-02,trap,-0.401,1,deteriorating,9105,15333,17.1,15,2.1,-0.406,0
CASE-ZBH-2013-01-02-652c91,ZBH,2013-01-02,mixed,0.557,0.75,deteriorating,4648,3967,26.5,26.5,0,0.172,0.06
CASE-AZO-2021-12-31-d81d99,AZO,2021-12-31,winner,0.55,0.5,deteriorating,6047,5797,29.8,28.5,1.3,0.043,0.08
CASE-AVB-2021-01-04-ec7ac8,AVB,2021-01-04,mixed,0.302,0.5,deteriorating,7374,7210,12.1,11.2,0.8,0.023,0.04
CASE-HPQ-2013-01-02-d09c11,HPQ,2013-01-02,winner,0.859,0.5,deteriorating,11716,10585,19.2,20,-0.8,0.107,0.17
CASE-NFLX-2015-12-31-392a29,NFLX,2015-12-31,winner,1.34,0,stable,6877,7354,27.2,27.5,-0.3,-0.065,0
CASE-AMAT-2013-01-02-f5dc8a,AMAT,2013-01-02,winner,0.684,0,stable,7704,7664,18,18.9,-0.9,0.005,0
CASE-ADSK-2021-01-04-e4c7ed,ADSK,2021-01-04,trap,-0.235,0,stable,3996,7261,9.5,12.7,-3.2,-0.45,0
CASE-NI-2019-01-02-517cc3,NI,2019-01-02,underperform,0.214,1,deteriorating,765,788,30.1,20.3,9.8,-0.029,0.1
CASE-EBAY-2021-12-31-d9348c,EBAY,2021-12-31,trap,-0.005,2.25,deteriorating,14370,4927,10,4.3,5.7,1.917,1.85
CASE-BBT-2019-01-02-73b43e,BBT,2019-01-02,underperform,0.15,0.5,deteriorating,4723,7157,24.3,23.3,1,-0.34,0
CASE-EQT-2015-12-31-c0b25d,EQT,2015-12-31,trap,-0.294,0.25,stable,4312,3880,19.5,19.6,-0.1,0.111,0.05
CASE-ADSK-2019-01-02-5297a5,ADSK,2019-01-02,winner,1.18,0,stable,3996,7261,9.5,12.7,-3.2,-0.45,0
CASE-GIS-2019-01-02-afcc9c,GIS,2019-01-02,mixed,0.953,0.5,deteriorating,12413,11608,9.1,9.6,-0.5,0.069,0.1
CASE-HAS-2021-01-04-2c0b25,HAS,2021-01-04,trap,-0.414,1,deteriorating,14655,18676,16,9.6,6.3,-0.215,0
CASE-WMB-2019-01-02-f30a0b,WMB,2019-01-02,underperform,0.426,0.25,stable,12218,10878,12.5,23.1,-10.6,0.123,0.06
CASE-WEC-2013-01-02-9fb59e,WEC,2013-01-02,mixed,0.512,1.25,deteriorating,28879,5426,4.6,18.4,-13.8,4.322,5.19
CASE-KSS-2019-01-02-7b59e1,KSS,2019-01-02,trap,-0.191,0,stable,3210,3285,31.2,31.4,-0.2,-0.023,0
CASE-HIG-2021-12-31-848feb,HIG,2021-12-31,winner,0.683,1.25,deteriorating,11996,10968,26.5,10.8,15.7,0.094,0.04
CASE-BXP-2015-01-02-1302f8,BXP,2015-01-02,underperform,0.062,1,deteriorating,13198,11995,18.2,17.6,0.6,0.1,0.18
CASE-LDOS-2021-12-31-751e88,LDOS,2021-12-31,winner,0.679,1.75,deteriorating,14206,9685,29.2,27.6,1.6,0.467,0.37
CASE-MKC-2019-01-02-3bfbf1,MKC,2019-01-02,underperform,0.49,1.25,deteriorating,6196,4527,25.3,27.4,-2.1,0.369,0.43
CASE-APD-2019-01-02-55da0f,APD,2019-01-02,mixed,1.033,0.5,deteriorating,4494,4371,26.9,24.9,2,0.028,0
CASE-CHRW-2015-01-02-c8ffdc,CHRW,2015-01-02,underperform,0.306,0.75,deteriorating,3016,2818,24.5,23.1,1.5,0.07,0
CASE-MNST-2013-01-02-cf8ed9,MNST,2013-01-02,winner,1.747,0,stable,15853,17261,7.2,8.5,-1.3,-0.082,0.02
CASE-FCX-2017-06-14-8cda03,FCX,2017-06-14,trap,-0.106,1,deteriorating,12111,30225,17.9,13,4.9,-0.599,0
CASE-IP-2021-12-31-023481,IP,2021-12-31,mixed,0.301,1.75,deteriorating,6498,4643,23.5,21.8,1.8,0.4,0.4
CASE-DRI-2013-01-02-0b6244,DRI,2013-01-02,winner,0.771,0.25,stable,7872,7157,32.3,33.3,-1,0.1,0.08
CASE-FISV-2021-12-31-064834,FISV,2021-12-31,winner,0.985,0,stable,1842,9079,6.5,23.2,-16.7,-0.797,0
CASE-ABBV-2021-01-04-9a305a,ABBV,2021-01-04,winner,0.724,0,stable,6909,6951,21.3,20.9,0.4,-0.006,0
CASE-ABT-2019-01-02-5bbd3d,ABT,2019-01-02,winner,1.123,0,stable,3630,4053,26.4,27.1,-0.7,-0.104,0
CASE-KEY-2015-12-31-507c54,KEY,2015-12-31,underperform,0.228,0,stable,6609,6802,22.1,22.1,0,-0.028,0
CASE-MNST-2012-06-28-852f51,MNST,2012-06-28,winner,0.9578962777439833,0,stable,15853,17261,7.2,8.5,-1.3,-0.082,0.02
CASE-EL-2021-12-31-67f44f,EL,2021-12-31,trap,-0.79,0,stable,5048,5192,31.1,31.2,-0.1,-0.028,0
CASE-SPG-2013-01-02-acdc3e,SPG,2013-01-02,mixed,0.417,0,stable,3365,3288,19,19.2,-0.1,0.023,0
