iShares Russell 1000 ETF
Fund Holdings as of,"Mar 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"121,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","2,991,432,685.92","6.91","2,991,432,685.92","16,741,844.00","178.68","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,603,408,503.22","6.02","2,603,408,503.22","10,305,631.00","252.62","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,968,448,457.76","4.55","1,968,448,457.76","5,305,219.00","371.04","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,452,733,060.71","3.36","1,452,733,060.71","6,861,901.00","211.71","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,209,726,215.55","2.80","1,209,726,215.55","4,158,135.00","290.93","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,053,226,135.77","2.43","1,053,226,135.77","3,303,617.00","318.81","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","980,464,573.41","2.27","980,464,573.41","3,385,699.00","289.59","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","929,125,377.16","2.15","929,125,377.16","1,561,844.00","594.89","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","778,998,392.40","1.80","778,998,392.40","2,018,392.00","385.95","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","628,270,324.11","1.45","628,270,324.11","1,319,369.00","476.19","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","574,069,302.02","1.33","574,069,302.02","1,943,231.00","295.42","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","525,143,675.17","1.21","525,143,675.17","573,107.00","916.31","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","493,387,066.44","1.14","493,387,066.44","3,022,094.00","163.26","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","413,028,218.29","0.95","413,028,218.29","1,721,453.00","239.93","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","382,988,808.72","0.89","382,988,808.72","3,112,212.00","123.06","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","367,159,815.78","0.85","367,159,815.78","1,204,158.00","304.91","United States","NYSE","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","309,538,522.06","0.72","309,538,522.06","317,521.00","974.86","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","305,373,587.71","0.71","305,373,587.71","799,219.00","382.09","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","289,339,385.52","0.67","289,339,385.52","575,502.00","502.76","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","279,755,955.72","0.65","279,755,955.72","3,031,599.00","92.28","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","274,928,490.10","0.64","274,928,490.10","1,340,134.00","205.15","United States","NYSE","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","262,558,799.64","0.61","262,558,799.64","1,267,298.00","207.18","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","253,758,749.45","0.59","253,758,749.45","1,152,035.00","220.27","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","242,132,283.12","0.56","242,132,283.12","1,562,547.00","154.96","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","241,819,709.04","0.56","241,819,709.04","1,680,237.00","143.92","United States","NYSE","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","238,150,362.24","0.55","238,150,362.24","331,206.00","719.04","United States","NYSE","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","236,835,900.17","0.55","236,835,900.17","712,267.00","332.51","United States","NYSE","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","232,982,939.14","0.54","232,982,939.14","2,847,158.00","81.83","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","229,034,081.25","0.53","229,034,081.25","4,698,135.00","48.75","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","220,647,164.32","0.51","220,647,164.32","744,022.00","296.56","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","212,212,882.38","0.49","212,212,882.38","1,777,774.00","119.37","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","209,667,514.70","0.48","209,667,514.70","898,126.00","233.45","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","209,599,341.98","0.48","209,599,341.98","567,497.00","369.34","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","209,330,901.50","0.48","209,330,901.50","2,781,806.00","75.25","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","186,627,870.00","0.43","186,627,870.00","957,066.00","195.00","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","184,444,288.50","0.43","184,444,288.50","1,114,467.00","165.50","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","178,425,502.54","0.41","178,425,502.54","193,166.00","923.69","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","177,808,485.56","0.41","177,808,485.56","2,215,406.00","80.26","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","176,986,757.92","0.41","176,986,757.92","210,238.00","841.84","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","176,107,488.20","0.41","176,107,488.20","650,924.00","270.55","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","175,830,275.04","0.41","175,830,275.04","1,204,152.00","146.02","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","165,376,513.66","0.38","165,376,513.66","335,899.00","492.34","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","160,656,390.33","0.37","160,656,390.33","665,547.00","241.39","United States","NYSE","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","159,382,807.80","0.37","159,382,807.80","511,334.00","311.70","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","152,080,327.68","0.35","152,080,327.68","3,019,264.00","50.37","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","148,921,311.00","0.34","148,921,311.00","3,156,450.00","47.18","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","148,729,235.79","0.34","148,729,235.79","980,223.00","151.73","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","145,344,477.72","0.34","145,344,477.72","94,146.00","1,543.82","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","142,446,118.49","0.33","142,446,118.49","4,944,329.00","28.81","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","141,942,836.16","0.33","141,942,836.16","1,239,892.00","114.48","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","136,195,449.37","0.31","136,195,449.37","384,809.00","353.93","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","136,055,388.40","0.31","136,055,388.40","1,492,490.00","91.16","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","134,431,269.70","0.31","134,431,269.70","811,538.00","165.65","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","132,628,629.42","0.31","132,628,629.42","270,246.00","490.77","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","129,858,267.33","0.30","129,858,267.33","1,238,751.00","104.83","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","127,725,867.64","0.30","127,725,867.64","799,586.00","159.74","United States","NYSE","USD","1.00","USD","-"
