case_id,ticker,cik,entry_date,sector,market_cap_at_entry,outcome_class,forward_return_3yr,sp500_return_3yr,current_item1a_word_count,prior_item1a_word_count,uncertainty_majority,score_median,obs_a_count_run1,obs_b_count_run1,obs_c_count_run1,observations_d_count_run1,prior_word_count_agent,current_word_count_agent
MC-ADC-2020-09-30,ADC,0000917251,2020-09-30,,7979303816,trap,-0.132,0.3,11957,10359,CANNOT_ASSESS,N/A,0,0,0,0,8200,0
MC-MTN-2022-03-31,MTN,0000812011,2022-03-31,,4871853059,trap,-0.3852,0.28,11020,11506,CAN_ASSESS,3.6,1,1,1,12,11800,10500
MC-HIW-2022-03-31,HIW,0000921082,2022-03-31,,2265480424,trap,-0.352,0.28,11660,11607,MARGINAL,3.4,0,0,1,18,7600,7000
MC-ASH-2022-03-31,ASH,0001674862,2022-03-31,,2557311156,trap,-0.3975,0.28,6310,6029,MARGINAL,2.8,1,0,1,15,5100,5400
MC-WELPP-2022-03-31,WELPP,0000107815,2022-03-31,,2188440286,trap,-0.2354,0.28,8815,8065,CAN_ASSESS,2.0,1,1,1,13,7200,8600
MC-AMBA-2022-03-31,AMBA,0001280263,2022-03-31,,2196441788,trap,-0.5203,0.28,21632,19676,MARGINAL,2.6,1,1,1,20,14500,17500
MC-UTI-2020-09-30,UTI,0001261654,2020-09-30,,2050864681,winner,0.6496,0.3,14413,14586,MARGINAL,3.4,0,1,1,18,11000,11500
MC-SNEX-2020-09-30,SNEX,0000913760,2020-09-30,,2501317258,winner,0.8945,0.3,11451,11512,CAN_ASSESS,2.2,1,1,1,8,5000,8500
MC-BCC-2022-03-31,BCC,0001328581,2022-03-31,,2818041788,mixed,0.412,0.28,14411,13548,CANNOT_ASSESS,N/A,8,0,6,18,8500,8500
MC-SMG-2020-09-30,SMG,0000825542,2020-09-30,,3574227134,trap,-0.662,0.3,11890,11786,CAN_ASSESS,2.5,1,0,1,14,8500,9800
MC-EPRT-2022-03-31,EPRT,0001728951,2022-03-31,,5769635345,mixed,0.2901,0.28,16458,15627,MARGINAL,3.4,1,1,1,28,13200,14800
MC-HWC-2020-09-30,HWC,0000750577,2020-09-30,,5463894922,winner,0.9665,0.3,21439,21292,CAN_ASSESS,2.5,1,1,1,18,9800,11500
MC-AGX-2020-09-30,AGX,0000100591,2020-09-30,,5577336491,underperform,0.0861,0.3,18643,11844,CAN_ASSESS,2.0,1,1,1,20,10500,12200
MC-RYN-2020-09-30,RYN,0000052827,2020-09-30,,3145367104,underperform,0.0764,0.3,9708,9159,MARGINAL,3.0,1,1,1,16,8200,9400
MC-FNMA-2020-09-30,FNMA,0000310522,2020-09-30,,5697790918,trap,-0.6931,0.3,16584,15411,CAN_ASSESS,3.2,1,1,1,12,11500,13200
MC-HALO-2022-03-31,HALO,0001159036,2022-03-31,,7794353483,winner,0.6001,0.28,12267,12292,MARGINAL,3.5,1,1,1,27,9800,9600
MC-CXW-2020-09-30,CXW,0001070985,2020-09-30,,2154422835,mixed,0.4063,0.3,15339,14395,MARGINAL,3.0,1,1,1,22,10200,10800
MC-CMSA-2020-09-30,CMSA,0000811156,2020-09-30,,6439771367,trap,-0.1491,0.3,6534,7141,CANNOT_ASSESS,N/A,1,1,1,15,8500,8800
MC-MFA-PB-2020-09-30,MFA-PB,0001055160,2020-09-30,,2004340603,trap,-0.0925,0.3,26832,26734,MARGINAL,3.0,1,1,1,22,10800,10600
MC-ST-2020-09-30,ST,0001477294,2020-09-30,,5313580956,trap,-0.1233,0.3,10785,10206,CAN_ASSESS,2.3,1,1,1,14,8500,11200
MC-FNB-2022-03-31,FNB,0000037808,2022-03-31,,5949729119,underperform,0.0803,0.28,11267,10913,CAN_ASSESS,2.8,5,6,6,14,9850,10550
MC-ALRM-2022-03-31,ALRM,0001459200,2022-03-31,,2145244275,trap,-0.1627,0.28,38615,36863,MARGINAL,2.6,4,3,8,28,21500,21800
MC-AVTR-2022-03-31,AVTR,0001722482,2022-03-31,,5222522779,trap,-0.5207,0.28,7352,7866,MARGINAL,3.4,0,2,4,25,5950,5650
MC-NTCT-2022-03-31,NTCT,0001078075,2022-03-31,,2339202752,trap,-0.3451,0.28,13833,14124,MARGINAL,3.2,2,7,7,18,12800,13200
MC-FROG-2022-03-31,FROG,0001800667,2022-03-31,,5295109355,mixed,0.1874,0.28,28957,25933,CANNOT_ASSESS,N/A,0,0,3,38,27500,27800
MC-REZI-2020-09-30,REZI,0001740332,2020-09-30,,5082571720,mixed,0.4364,0.3,22883,22212,CANNOT_ASSESS,N/A,0,0,0,35,25500,26200
MC-REXR-PC-2022-03-31,REXR-PC,0001571283,2022-03-31,,4664148817,trap,-0.1314,0.28,18313,17890,CAN_ASSESS,3.6,4,1,6,30,18500,17800
MC-POST-2022-03-31,POST,0001530950,2022-03-31,,5407007499,winner,0.68,0.28,18408,17045,CAN_ASSESS,2.3,7,2,12,22,17200,19500
MC-OTEX-2022-03-31,OTEX,0001002638,2022-03-31,,5873999956,trap,-0.4042,0.28,20692,19105,CANNOT_ASSESS,N/A,1,2,4,28,15200,16100
MC-ZIONP-2022-03-31,ZIONP,0000109380,2022-03-31,,2879452875,underperform,0.081,0.28,5667,7493,CAN_ASSESS,3.2,4,6,8,12,6800,5600
MC-DAN-2020-09-30,DAN,0000026780,2020-09-30,,4764478303,underperform,0.1907,0.3,5007,4768,CAN_ASSESS,2.5,1,0,1,12,4450,4550
MC-OII-2020-09-30,OII,0000073756,2020-09-30,,3676139657,winner,6.3068,0.3,11979,12490,MARGINAL,2.8,1,1,0,17,5200,5600
MC-POWI-2020-09-30,POWI,0000833640,2020-09-30,,2849496607,mixed,0.3774,0.3,5055,5078,CANNOT_ASSESS,N/A,0,0,1,17,5300,4900
MC-STAG-2020-09-30,STAG,0001479094,2020-09-30,,6776032389,underperform,0.1318,0.3,12981,12549,MARGINAL,2.7,1,0,1,35,13800,14500
MC-FIBK-2020-09-30,FIBK,0000860413,2020-09-30,,3501798952,trap,-0.217,0.3,19238,16296,CAN_ASSESS,2.2,1,0,1,16,10500,14200
MC-PFH-2022-03-31,PFH,0001137774,2022-03-31,,5979059784,trap,-0.2389,0.28,10768,10698,MARGINAL,2.8,1,0,1,32,16500,16200
MC-ASB-PF-2022-03-31,ASB-PF,0000007789,2022-03-31,,3366473319,trap,-0.215,0.28,16815,16584,CAN_ASSESS,3.8,0,1,1,28,16200,14800
MC-VAL-2022-03-31,VAL,0000314808,2022-03-31,,7241032733,trap,-0.2446,0.28,22733,29193,CAN_ASSESS,4.5,1,1,1,14,17500,15200
MC-EPRT-2020-09-30,EPRT,0001728951,2020-09-30,,5769635345,underperform,0.1807,0.3,20082,19190,CANNOT_ASSESS,N/A,2,0,3,40,18500,18500
MC-TCBI-2022-03-31,TCBI,0001077428,2022-03-31,,4356508676,mixed,0.3034,0.28,23977,24862,CAN_ASSESS,3.8,1,1,1,20,10500,10800
MC-REYN-2022-03-31,REYN,0001786431,2022-03-31,,4398882715,trap,-0.1868,0.28,14975,16056,CAN_ASSESS,3.4,1,3,9,20,11500,10200
MC-ESNT-2020-09-30,ESNT,0001448893,2020-09-30,,6083714227,mixed,0.2778,0.3,17139,16174,CANNOT_ASSESS,N/A,4,0,4,28,17000,17500
MC-MDU-2020-09-30,MDU,0000067716,2020-09-30,,4215351866,mixed,0.2675,0.3,16782,17215,CANNOT_ASSESS,N/A,4,3,6,18,8200,8400
MC-AX-2022-03-31,AX,0001299709,2022-03-31,,4850515362,mixed,0.3908,0.28,30501,12242,CAN_ASSESS,2.8,6,3,9,22,14500,15200
MC-ALKS-2020-09-30,ALKS,0001520262,2020-09-30,,4865412897,winner,0.6904,0.3,31223,31310,CANNOT_ASSESS,N/A,3,1,3,35,16000,16200
MC-MWA-2020-09-30,MWA,0001350593,2020-09-30,,4353467204,mixed,0.2204,0.3,9819,9779,CAN_ASSESS,3.2,3,0,6,16,6800,7200
MC-PBI-PB-2020-09-30,PBI-PB,0000078814,2020-09-30,,3633804890,trap,-0.0847,0.3,3765,3492,CAN_ASSESS,2.2,4,0,6,7,4200,4800
MC-MSA-2020-09-30,MSA,0000066570,2020-09-30,,6582117333,underperform,0.175,0.3,5306,5209,MARGINAL,2.8,0,0,12,14,5800,5900
MC-PLXS-2022-03-31,PLXS,0000785786,2022-03-31,,5412628377,winner,0.5662,0.28,10703,10350,CAN_ASSESS,2.5,5,2,8,16,10800,12400
MC-RSMDF-2020-09-30,RSMDF,0000943819,2020-09-30,,3661392161,trap,-0.157,0.3,13644,11440,CAN_ASSESS,2.2,3,0,5,18,7800,9200
MC-PLAB-2020-09-30,PLAB,0000810136,2020-09-30,,2518214921,winner,1.0291,0.3,6186,6082,MARGINAL,3.3,0,0,1,18,5100,5350
MC-PK-2022-03-31,PK,0001617406,2022-03-31,,2165921693,trap,-0.4531,0.28,11434,11400,CAN_ASSESS,3.6,1,1,1,18,12800,12500
MC-DAN-2022-03-31,DAN,0000026780,2022-03-31,,4764478303,trap,-0.2413,0.28,5360,4849,CAN_ASSESS,2.5,1,1,1,14,4500,5100
MC-TNL-2022-03-31,TNL,0001361658,2022-03-31,,4714759913,trap,-0.2011,0.28,11726,12013,CAN_ASSESS,3.8,1,1,1,20,13800,12200
MC-HR-2022-03-31,HR,0001360604,2022-03-31,,6034111251,trap,-0.385,0.28,18226,15467,CAN_ASSESS,1.8,1,0,1,28,10200,11800
MC-AMRX-2020-09-30,AMRX,0001723128,2020-09-30,,3738194203,underperform,0.0876,0.3,28351,27224,CANNOT_ASSESS,N/A,0,1,4,35,14500,14200
MC-KBH-2022-03-31,KBH,0000795266,2022-03-31,,3745660567,winner,0.7949,0.28,11462,8190,CAN_ASSESS,2.4,1,1,1,12,7200,8100
MC-SON-2020-09-30,SON,0000091767,2020-09-30,,5265675533,underperform,0.0642,0.3,10361,8024,MARGINAL,3.0,1,1,1,18,7800,9200
MC-ESE-2020-09-30,ESE,0000866706,2020-09-30,,7164529068,mixed,0.2964,0.3,6872,6448,CANNOT_ASSESS,N/A,1,0,1,15,5200,5400
MC-ALKS-2022-03-31,ALKS,0001520262,2022-03-31,,4865412897,mixed,0.255,0.28,34323,11238,CAN_ASSESS,2.0,1,0,1,25,14000,15500
MC-ACA-2020-09-30,ACA,0001739445,2020-09-30,,5130749768,winner,0.6308,0.3,14265,14241,CAN_ASSESS,3.2,1,1,1,30,10800,10200
MC-CECO-2020-09-30,CECO,0000003197,2020-09-30,,2137538250,winner,1.1907,0.3,8499,8701,MARGINAL,3.4,1,1,1,20,7200,7100
MC-KRG-2020-09-30,KRG,0001286043,2020-09-30,,5331259142,winner,0.8497,0.3,16392,15991,CAN_ASSESS,3.3,1,1,1,28,14500,15500
MC-OII-2022-03-31,OII,0000073756,2022-03-31,,3676139657,mixed,0.4387,0.28,16821,15569,CAN_ASSESS,2.8,1,1,1,18,5900,6800
MC-FSLY-2022-03-31,FSLY,0001517413,2022-03-31,,4068357022,trap,-0.6358,0.28,29887,26442,CAN_ASSESS,1.8,1,1,1,30,18500,20500
MC-MCY-2022-03-31,MCY,0000064996,2022-03-31,,4894693120,underperform,0.0164,0.28,10170,10101,MARGINAL,3.0,1,1,1,28,7600,7700
MC-UNFI-2022-03-31,UNFI,0001020859,2022-03-31,,2703549638,trap,-0.3376,0.28,10962,12636,CAN_ASSESS,2.5,1,1,1,12,8500,12200
MC-CXW-2022-03-31,CXW,0001070985,2022-03-31,,2154422835,winner,0.8165,0.28,15303,14637,CAN_ASSESS,2.0,1,0,1,30,12500,13200
MC-PECO-2022-03-31,PECO,0001476204,2022-03-31,,4617376134,underperform,0.0611,0.28,23047,17790,CAN_ASSESS,4.2,1,1,1,18,8200,11500
MC-NNN-2022-03-31,NNN,0000751364,2022-03-31,,7895986908,trap,-0.051,0.28,7960,7891,CAN_ASSESS,3.8,1,1,1,28,6800,6900
MC-KBR-2022-03-31,KBR,0001357615,2022-03-31,,4970535826,trap,-0.0899,0.28,21227,19712,CAN_ASSESS,3.4,1,1,1,12,16800,18500
MC-AVT-2022-03-31,AVT,0000008858,2022-03-31,,5294079260,mixed,0.1848,0.28,7928,8442,CAN_ASSESS,3.2,1,1,1,10,7200,6800
MC-PBH-2022-03-31,PBH,0001295947,2022-03-31,,2991094772,winner,0.6239,0.28,12731,11736,CAN_ASSESS,3.6,1,1,1,11,10200,10500
MC-TWO-PC-2022-03-31,TWO-PC,0001465740,2022-03-31,,2439836260,underperform,0.0583,0.28,13755,14104,MARGINAL,3.3,1,1,1,30,16500,16200
MC-LEA-2020-09-30,LEA,0000842162,2020-09-30,,6541078693,mixed,0.2306,0.3,5429,5296,CAN_ASSESS,2.6,1,1,1,11,6800,7200
MC-GBDC-2022-03-31,GBDC,0001476765,2022-03-31,,3329352396,trap,-0.0046,0.28,35994,34981,MARGINAL,3.3,1,1,1,25,12500,12800
MC-SKT-2020-09-30,SKT,0000899715,2020-09-30,,3831261985,winner,2.7479,0.3,5081,4578,CAN_ASSESS,2.4,1,0,1,15,5600,6400
MC-NPO-2022-03-31,NPO,0001164863,2022-03-31,,5280410161,winner,0.6555,0.28,5898,6028,CAN_ASSESS,3.4,1,1,1,12,7200,7600
MC-AMBA-2020-09-30,AMBA,0001280263,2020-09-30,,2196441788,underperform,0.0163,0.3,19676,19903,CAN_ASSESS,2.2,1,1,1,18,14800,15500
MC-SIRI-2022-03-31,SIRI,0000908937,2022-03-31,,7774740638,trap,-0.6594,0.28,9546,9419,CAN_ASSESS,2.8,1,1,1,22,8200,8600
MC-DTB-2020-09-30,DTB,0000936340,2020-09-30,,3481671994,trap,-0.2457,0.3,4190,4059,MARGINAL,2.8,1,1,1,14,4850,5050
MC-ADAMN-2020-09-30,ADAMN,0001273685,2020-09-30,,2024182430,trap,-0.0097,0.3,18873,18553,CAN_ASSESS,2.3,1,1,1,18,16200,16800
MC-PBH-2020-09-30,PBH,0001295947,2020-09-30,,2991094772,winner,0.5703,0.3,11736,10498,CAN_ASSESS,2.5,1,0,1,14,8900,9500
MC-KAI-2022-03-31,KAI,0000886346,2022-03-31,,3520591652,winner,0.735,0.28,13752,11462,CAN_ASSESS,2.7,1,0,1,18,14500,15200
MC-NNN-2020-09-30,NNN,0000751364,2020-09-30,,7895986908,underperform,0.0241,0.3,6923,8680,CAN_ASSESS,2.8,1,1,1,14,6800,8500
MC-SYNA-2022-03-31,SYNA,0000817720,2022-03-31,,2867674888,trap,-0.6806,0.28,8638,10318,CAN_ASSESS,3.2,1,1,1,12,12500,13200
MC-ABM-2022-03-31,ABM,0000771497,2022-03-31,,2377412916,underperform,0.0287,0.28,6151,5640,CAN_ASSESS,2.3,1,0,1,16,6200,7100
MC-LAUR-2020-09-30,LAUR,0000912766,2020-09-30,,5339291409,underperform,0.0617,0.3,24503,24949,CAN_ASSESS,2.0,1,0,1,25,18500,19200
MC-OMF-2020-09-30,OMF,0001584207,2020-09-30,,6332473370,mixed,0.2829,0.3,14543,16344,CANNOT_ASSESS,N/A,1,1,1,16,10800,10600
MC-HTGC-2020-09-30,HTGC,0001280784,2020-09-30,,2434554564,mixed,0.4192,0.3,36036,44523,CAN_ASSESS,2.5,1,0,1,35,28500,29200
MC-SXT-2022-03-31,SXT,0000310142,2022-03-31,,3688219884,trap,-0.1134,0.28,6889,6724,CAN_ASSESS,2.5,1,1,11,5,0,0
MC-TDW-2022-03-31,TDW,0000098222,2022-03-31,,4158794256,winner,0.9443,0.28,14815,11131,CANNOT_ASSESS,N/A,5,2,2,0,0,0
MC-CTLPP-2022-03-31,CTLPP,0000896429,2022-03-31,,3943867050,underperform,0.1714,0.28,7306,7530,CAN_ASSESS,4.0,2,5,8,8,0,0
MC-COF-PN-2022-03-31,COF-PN,0000927628,2022-03-31,,6009724608,trap,-0.2034,0.28,25524,25117,CAN_ASSESS,3.2,2,0,11,8,0,0
MC-KBH-2020-09-30,KBH,0000795266,2020-09-30,,3745660567,mixed,0.2055,0.3,5888,8960,CAN_ASSESS,2.3,5,2,9,5,0,0
MC-KBR-2020-09-30,KBR,0001357615,2020-09-30,,4970535826,winner,1.636,0.3,15246,14976,MARGINAL,3.2,0,0,9,20,0,0
MC-REXR-PB-2022-03-31,REXR-PB,0001571283,2022-03-31,,4917189299,trap,-0.0895,0.28,18313,17890,CAN_ASSESS,3.5,2,0,10,15,0,0
MC-KAI-2020-09-30,KAI,0000886346,2020-09-30,,3520591652,winner,1.0576,0.3,12042,10076,CAN_ASSESS,2.0,3,0,9,10,0,0
MC-PATK-2020-09-30,PATK,0000076605,2020-09-30,,3639011092,mixed,0.3048,0.3,10314,10146,CAN_ASSESS,2.8,1,1,12,15,0,0
MC-NEU-2022-03-31,NEU,0001282637,2022-03-31,,5992235209,winner,0.7463,0.28,4902,5026,CANNOT_ASSESS,N/A,0,0,9,14,0,0
MC-SIRI-2020-09-30,SIRI,0000908937,2020-09-30,,7774740638,trap,-0.1567,0.3,9131,5389,CAN_ASSESS,2.5,1,1,1,8,5800,9200
MC-AVNT-2020-09-30,AVNT,0001122976,2020-09-30,,3312847355,mixed,0.3348,0.3,4505,4402,MARGINAL,2.7,1,1,1,7,3800,4200
MC-FELE-2022-03-31,FELE,0000038725,2022-03-31,,4205113004,underperform,0.1305,0.28,2513,2499,CANNOT_ASSESS,N/A,0,0,1,17,2500,2500
MC-BDC-2020-09-30,BDC,0000913142,2020-09-30,,4589905207,winner,2.1025,0.3,5850,5659,CAN_ASSESS,2.5,0,0,1,16,7200,7400
MC-LOPE-2022-03-31,LOPE,0001434588,2022-03-31,,4866850278,winner,0.7817,0.28,28124,26935,MARGINAL,3.3,0,1,1,26,12500,12200
MC-USAC-2022-03-31,USAC,0001522727,2022-03-31,,3344874407,winner,0.5321,0.28,23524,22731,MARGINAL,2.8,1,1,1,18,13500,13800
MC-GNTX-2022-03-31,GNTX,0000355811,2022-03-31,,5009665761,trap,-0.2012,0.28,5466,5216,CAN_ASSESS,2.3,1,1,1,10,5200,5500
MC-MWA-2022-03-31,MWA,0001350593,2022-03-31,,4353467204,winner,0.9675,0.28,11934,10171,CAN_ASSESS,2.3,1,1,1,14,7800,9200
MC-KRC-2022-03-31,KRC,0001025996,2022-03-31,,3415331285,trap,-0.5713,0.28,19979,19869,CANNOT_ASSESS,N/A,0,0,1,22,13000,13200
MC-PFSI-2020-09-30,PFSI,0001745916,2020-09-30,,4445955950,underperform,0.1459,0.3,18707,21455,CANNOT_ASSESS,N/A,1,0,1,35,19500,20200
MC-GS-PA-2022-03-31,GS-PA,0000886982,2022-03-31,,5965562242,underperform,0.0399,0.28,10142,19522,CANNOT_ASSESS,N/A,0,0,0,0,19682,12093
MC-RLI-2020-09-30,RLI,0000084246,2020-09-30,,5258084694,winner,0.6226,0.3,5675,5345,MARGINAL,2.8,1,1,1,12,5427,5693
MC-PTEN-2022-03-31,PTEN,0000889900,2022-03-31,,4350754833,trap,-0.469,0.28,13263,13303,MARGINAL,3.2,1,0,1,10,13449,13302
