case_id,ticker,cik,entry_date,sector,market_cap_at_entry,outcome_class,forward_return_3yr,sp500_return_3yr,current_10k_filing_date,prior_10k_filing_date,current_item1a_word_count,prior_item1a_word_count
MC-ADC-2020-09-30,ADC,0000917251,2020-09-30,,7979303816,trap,-0.132,0.3,2020-02-20,2019-02-21,11957,10359
MC-MTN-2022-03-31,MTN,0000812011,2022-03-31,,4871853059,trap,-0.3852,0.28,2021-09-23,2020-09-24,11020,11506
MC-HIW-2022-03-31,HIW,0000921082,2022-03-31,,2265480424,trap,-0.352,0.28,2022-02-08,2021-02-09,11660,11607
MC-ASH-2022-03-31,ASH,0001674862,2022-03-31,,2557311156,trap,-0.3975,0.28,2021-11-22,2020-11-23,6310,6029
MC-WELPP-2022-03-31,WELPP,0000107815,2022-03-31,,2188440286,trap,-0.2354,0.28,2022-02-24,2021-02-25,8815,8065
MC-AMBA-2022-03-31,AMBA,0001280263,2022-03-31,,2196441788,trap,-0.5203,0.28,2021-03-31,2020-03-27,21632,19676
MC-UTI-2020-09-30,UTI,0001261654,2020-09-30,,2050864681,winner,0.6496,0.3,2019-12-06,2018-11-30,14413,14586
MC-SNEX-2020-09-30,SNEX,0000913760,2020-09-30,,2501317258,winner,0.8945,0.3,2019-12-12,2018-12-12,11451,11512
MC-BCC-2022-03-31,BCC,0001328581,2022-03-31,,2818041788,mixed,0.412,0.28,2022-02-22,2021-02-22,14411,13548
MC-SMG-2020-09-30,SMG,0000825542,2020-09-30,,3574227134,trap,-0.662,0.3,2019-11-27,2018-11-29,11890,11786
MC-EPRT-2022-03-31,EPRT,0001728951,2022-03-31,,5769635345,mixed,0.2901,0.28,2022-02-16,2021-02-24,16458,15627
MC-HWC-2020-09-30,HWC,0000750577,2020-09-30,,5463894922,winner,0.9665,0.3,2020-02-25,2019-03-01,21439,21292
MC-AGX-2020-09-30,AGX,0000100591,2020-09-30,,5577336491,underperform,0.0861,0.3,2020-04-14,2019-04-10,18643,11844
MC-RYN-2020-09-30,RYN,0000052827,2020-09-30,,3145367104,underperform,0.0764,0.3,2020-02-24,2019-02-22,9708,9159
MC-FNMA-2020-09-30,FNMA,0000310522,2020-09-30,,5697790918,trap,-0.6931,0.3,2020-02-13,2019-02-14,16584,15411
MC-HALO-2022-03-31,HALO,0001159036,2022-03-31,,7794353483,winner,0.6001,0.28,2022-02-22,2021-02-23,12267,12292
MC-CXW-2020-09-30,CXW,0001070985,2020-09-30,,2154422835,mixed,0.4063,0.3,2020-02-20,2019-02-25,15339,14395
MC-CMSA-2020-09-30,CMSA,0000811156,2020-09-30,,6439771367,trap,-0.1491,0.3,2020-02-06,2019-02-05,6534,7141
MC-MFA-PB-2020-09-30,MFA-PB,0001055160,2020-09-30,,2004340603,trap,-0.0925,0.3,2020-02-21,2019-02-21,26832,26734
MC-ST-2020-09-30,ST,0001477294,2020-09-30,,5313580956,trap,-0.1233,0.3,2020-02-11,2019-02-06,10785,10206
MC-FNB-2022-03-31,FNB,0000037808,2022-03-31,,5949729119,underperform,0.0803,0.28,2022-02-24,2021-02-25,11267,10913
MC-ALRM-2022-03-31,ALRM,0001459200,2022-03-31,,2145244275,trap,-0.1627,0.28,2022-02-24,2021-02-25,38615,36863
MC-AVTR-2022-03-31,AVTR,0001722482,2022-03-31,,5222522779,trap,-0.5207,0.28,2022-02-11,2021-02-16,7352,7866
MC-NTCT-2022-03-31,NTCT,0001078075,2022-03-31,,2339202752,trap,-0.3451,0.28,2021-05-20,2020-05-20,13833,14124
MC-FROG-2022-03-31,FROG,0001800667,2022-03-31,,5295109355,mixed,0.1874,0.28,2022-02-11,2021-02-12,28957,25933
MC-REZI-2020-09-30,REZI,0001740332,2020-09-30,,5082571720,mixed,0.4364,0.3,2020-02-27,2019-03-18,22883,22212
