case_id,cik,ticker,run_number,uncertainty_rating,score,obs_a_count,obs_b_count,obs_c_count,observations_d_count,prior_word_count,current_word_count,forward_return_3yr
MC-ADC-2020-09-30,0000917251,ADC,1,CANNOT_ASSESS,N/A,3,2,0,,6800,0,-0.132
MC-MTN-2022-03-31,0000812011,MTN,1,CAN_ASSESS,3.4,1,1,15,14,11512,11026,-0.3852
MC-MTN-2022-03-31,0000812011,MTN,2,CAN_ASSESS,3.4,1,1,1,6,7800,6900,-0.3852
MC-MTN-2022-03-31,0000812011,MTN,3,CAN_ASSESS,3.4,1,1,10,18,11504,11026,-0.3852
MC-HIW-2022-03-31,0000921082,HIW,1,MARGINAL,3.3,0,0,11,25,9225,8828,-0.352
MC-HIW-2022-03-31,0000921082,HIW,2,MARGINAL,3.2,0,0,1,22,6550,5750,-0.352
MC-HIW-2022-03-31,0000921082,HIW,3,MARGINAL,3.3,0,0,8,27,9269,8872,-0.352
MC-ASH-2022-03-31,0001674862,ASH,1,MARGINAL,2.8,1,0,0,19,6052,6324,-0.3975
MC-ASH-2022-03-31,0001674862,ASH,2,MARGINAL,2.8,1,0,1,19,5400,5700,-0.3975
MC-ASH-2022-03-31,0001674862,ASH,3,MARGINAL,2.8,1,0,1,18,5400,5700,-0.3975
MC-WELPP-2022-03-31,0000107815,WELPP,1,CAN_ASSESS,2.3,2,1,13,9,8071,8821,-0.2354
MC-WELPP-2022-03-31,0000107815,WELPP,2,CAN_ASSESS,2.3,2,1,10,8,5900,6500,-0.2354
MC-WELPP-2022-03-31,0000107815,WELPP,3,CAN_ASSESS,2.3,2,1,12,6,8065,8815,-0.2354
MC-AMBA-2022-03-31,0001280263,AMBA,1,CAN_ASSESS,2.3,14,4,8,30,16800,17900,-0.5203
MC-AMBA-2022-03-31,0001280263,AMBA,2,CAN_ASSESS,2.3,1,1,1,25,16800,17600,-0.5203
MC-UTI-2020-09-30,0001261654,UTI,1,CAN_ASSESS,3.7,1,1,1,20,13400,13200,0.6496
MC-UTI-2020-09-30,0001261654,UTI,3,CAN_ASSESS,3.5,1,1,10,19,14603,14441,0.6496
MC-SNEX-2020-09-30,0000913760,SNEX,1,MARGINAL,3.4,1,0,1,35,10800,10600,0.8945
MC-SNEX-2020-09-30,0000913760,SNEX,2,MARGINAL,3.2,1,0,1,30,11512,11451,0.8945
MC-SNEX-2020-09-30,0000913760,SNEX,3,MARGINAL,3.4,1,0,1,23,10300,10100,0.8945
