case_id,ticker,cik,entry_date,sector,market_cap_at_entry,outcome_class,forward_return_3yr,sp500_return_3yr
MC-IDA-2020-09-30,IDA,,2020-09-30,Utilities,7534111434,underperform,0.1721,0.3
MC-BFAM-2022-03-31,BFAM,,2022-03-31,Consumer Discretionary,4657162733,trap,-0.0426,0.28
MC-MTN-2020-09-30,MTN,,2020-09-30,Consumer Discretionary,4871853059,underperform,0.037,0.3
MC-HR-2020-09-30,HR,,2020-09-30,Real Estate,6034111251,trap,-0.493,0.3
MC-POST-2022-03-31,POST,,2022-03-31,Consumer Staples,5407007499,winner,0.68,0.28
MC-CUZ-2022-03-31,CUZ,,2022-03-31,Real Estate,3651645370,trap,-0.2678,0.28
MC-FHB-2020-09-30,FHB,,2020-09-30,Financials,3108739081,mixed,0.2474,0.3
MC-KRC-2020-09-30,KRC,,2020-09-30,Real Estate,3415331285,trap,-0.3916,0.3
MC-AXTA-2020-09-30,AXTA,,2020-09-30,Materials,5968401177,mixed,0.2134,0.3
MC-TKR-2022-03-31,TKR,,2022-03-31,Industrials,6934311073,mixed,0.184,0.28
MC-MSA-2020-09-30,MSA,,2020-09-30,Industrials,6582117333,underperform,0.175,0.3
MC-MDU-2022-03-31,MDU,,2022-03-31,Utilities,4215351866,winner,0.6693,0.28
MC-GNTX-2020-09-30,GNTX,,2020-09-30,Consumer Discretionary,5009665761,mixed,0.2637,0.3
MC-MSM-2022-03-31,MSM,,2022-03-31,Industrials,4998275498,trap,-0.0885,0.28
MC-CRUS-2020-09-30,CRUS,,2020-09-30,Information Technology,7902119325,underperform,0.0965,0.3
MC-SIRI-2022-03-31,SIRI,,2022-03-31,Communication,7774740638,trap,-0.6594,0.28
MC-VOYA-2022-03-31,VOYA,,2022-03-31,Financials,6576028628,underperform,0.0213,0.28
MC-RH-2020-09-30,RH,,2020-09-30,Consumer Discretionary,2456133999,trap,-0.3091,0.3
MC-FAF-2020-09-30,FAF,,2020-09-30,Financials,6110431859,underperform,0.1096,0.3
MC-OLLI-2022-03-31,OLLI,,2022-03-31,Consumer Discretionary,5546782881,winner,1.7086,0.28
MC-BILL-2020-09-30,BILL,,2020-09-30,Information Technology,3889274200,underperform,0.0823,0.3
MC-PSN-2020-09-30,PSN,,2020-09-30,Industrials,5725389382,winner,0.6205,0.3
MC-LEA-2022-03-31,LEA,,2022-03-31,Consumer Discretionary,6541078693,trap,-0.3813,0.28
MC-PCTY-2022-03-31,PCTY,,2022-03-31,Industrials,6205156525,trap,-0.0896,0.28
MC-AVT-2022-03-31,AVT,,2022-03-31,Information Technology,5294079260,mixed,0.1848,0.28
MC-ADC-2020-09-30,ADC,,2020-09-30,Real Estate,7979303816,trap,-0.132,0.3
MC-REXR-2022-03-31,REXR,,2022-03-31,Real Estate,7579812077,trap,-0.4751,0.28
MC-CHDN-2022-03-31,CHDN,,2022-03-31,Consumer Discretionary,6440604380,underperform,0.0016,0.28
MC-RYN-2020-09-30,RYN,,2020-09-30,Real Estate,3145367104,underperform,0.0764,0.3
MC-PCTY-2020-09-30,PCTY,,2020-09-30,Industrials,6205156525,underperform,0.1256,0.3
MC-IDA-2022-03-31,IDA,,2022-03-31,Utilities,7534111434,underperform,0.0075,0.28
MC-BFAM-2020-09-30,BFAM,,2020-09-30,Consumer Discretionary,4657162733,trap,-0.4642,0.3
MC-WSC-2020-09-30,WSC,,2020-09-30,Industrials,3386959905,winner,1.4934,0.3
MC-CACC-2020-09-30,CACC,,2020-09-30,Financials,5328154730,mixed,0.3587,0.3
MC-FCN-2022-03-31,FCN,,2022-03-31,Industrials,6152438679,underperform,0.0436,0.28
MC-LOPE-2020-09-30,LOPE,,2020-09-30,Consumer Discretionary,4866850278,mixed,0.4621,0.3
MC-PK-2022-03-31,PK,,2022-03-31,Real Estate,2165921693,trap,-0.4531,0.28
MC-CHH-2022-03-31,CHH,,2022-03-31,Consumer Discretionary,4744768677,trap,-0.0633,0.28
MC-CRUS-2022-03-31,CRUS,,2022-03-31,Information Technology,7902119325,underperform,0.1754,0.28
MC-OLN-2020-09-30,OLN,,2020-09-30,Materials,3301122440,winner,3.0372,0.3
MC-LAZ-2020-09-30,LAZ,,2020-09-30,Financials,4651601254,trap,-0.0617,0.3
MC-STAG-2022-03-31,STAG,,2022-03-31,Real Estate,6776032389,trap,-0.1265,0.28
MC-CUZ-2020-09-30,CUZ,,2020-09-30,Real Estate,3651645370,trap,-0.2875,0.3
MC-FR-2020-09-30,FR,,2020-09-30,Real Estate,7701313132,underperform,0.1957,0.3
MC-VKTX-2022-03-31,VKTX,,2022-03-31,Health Care,3844487458,winner,7.05,0.28
MC-HIW-2022-03-31,HIW,,2022-03-31,Real Estate,2265480424,trap,-0.352,0.28
MC-ESTC-2020-09-30,ESTC,,2020-09-30,Information Technology,5317336820,trap,-0.247,0.3
MC-ALGM-2022-03-31,ALGM,,2022-03-31,Information Technology,5750224665,trap,-0.1151,0.28
MC-LOPE-2022-03-31,LOPE,,2022-03-31,Consumer Discretionary,4866850278,winner,0.7817,0.28
MC-FAF-2022-03-31,FAF,,2022-03-31,Financials,6110431859,underperform,0.0125,0.28
MC-AXTA-2022-03-31,AXTA,,2022-03-31,Materials,5968401177,mixed,0.3495,0.28
MC-ASH-2022-03-31,ASH,,2022-03-31,Materials,2557311156,trap,-0.3975,0.28
MC-SAIC-2020-09-30,SAIC,,2020-09-30,Industrials,4858822765,mixed,0.3458,0.3
MC-MDU-2020-09-30,MDU,,2020-09-30,Utilities,4215351866,mixed,0.2675,0.3
MC-VVV-2022-03-31,VVV,,2022-03-31,Consumer Discretionary,4404032484,underperform,0.103,0.28
MC-SLGN-2020-09-30,SLGN,,2020-09-30,Materials,4143632339,underperform,0.1724,0.3
MC-REXR-2020-09-30,REXR,,2020-09-30,Real Estate,7579812077,underperform,0.0785,0.3
MC-ELF-2022-03-31,ELF,,2022-03-31,Consumer Staples,3771938748,winner,1.4309,0.28
MC-CHE-2020-09-30,CHE,,2020-09-30,Health Care,5444118884,underperform,0.0819,0.3
MC-POST-2020-09-30,POST,,2020-09-30,Consumer Staples,5407007499,winner,0.5235,0.3
MC-VKTX-2020-09-30,VKTX,,2020-09-30,Health Care,3844487458,winner,0.9021,0.3
MC-WSC-2022-03-31,WSC,,2022-03-31,Industrials,3386959905,trap,-0.2895,0.28
MC-INGR-2022-03-31,INGR,,2022-03-31,Consumer Staples,7177270338,winner,0.5515,0.28
MC-GTES-2022-03-31,GTES,,2022-03-31,Industrials,5800440646,mixed,0.2224,0.28
MC-PSN-2022-03-31,PSN,,2022-03-31,Industrials,5725389382,winner,0.53,0.28
MC-NVST-2022-03-31,NVST,,2022-03-31,Health Care,4449339497,trap,-0.6457,0.28
MC-U-2022-03-31,U,,2022-03-31,Information Technology,7017552969,trap,-0.8025,0.28
MC-SMG-2020-09-30,SMG,,2020-09-30,Materials,3574227134,trap,-0.662,0.3
MC-BC-2022-03-31,BC,,2022-03-31,Consumer Discretionary,4816121561,trap,-0.3343,0.28
MC-EXP-2022-03-31,EXP,,2022-03-31,Materials,6122263056,winner,0.729,0.28
MC-SMG-2022-03-31,SMG,,2022-03-31,Materials,3574227134,trap,-0.5536,0.28
MC-NNN-2020-09-30,NNN,,2020-09-30,Real Estate,7895986908,underperform,0.0241,0.3
MC-MTN-2022-03-31,MTN,,2022-03-31,Consumer Discretionary,4871853059,trap,-0.3852,0.28
MC-GPK-2020-09-30,GPK,,2020-09-30,Materials,2804003149,winner,0.5813,0.3
MC-CHDN-2020-09-30,CHDN,,2020-09-30,Consumer Discretionary,6440604380,mixed,0.4167,0.3
MC-PK-2020-09-30,PK,,2020-09-30,Real Estate,2165921693,mixed,0.2332,0.3
MC-PEGA-2020-09-30,PEGA,,2020-09-30,Information Technology,3621496683,trap,-0.6414,0.3
MC-AVTR-2022-03-31,AVTR,,2022-03-31,Health Care,5222522779,trap,-0.5207,0.28
MC-CAR-2022-03-31,CAR,,2022-03-31,Industrials,4900715279,trap,-0.7117,0.28
MC-IRDM-2020-09-30,IRDM,,2020-09-30,Communication,3081236533,winner,0.7783,0.3
MC-MSM-2020-09-30,MSM,,2020-09-30,Industrials,4998275498,winner,0.551,0.3
MC-STAG-2020-09-30,STAG,,2020-09-30,Real Estate,6776032389,underperform,0.1318,0.3
MC-THO-2020-09-30,THO,,2020-09-30,Consumer Discretionary,4334218036,trap,-0.0014,0.3
MC-ARW-2022-03-31,ARW,,2022-03-31,Information Technology,7473160968,trap,-0.1248,0.28
MC-KBR-2020-09-30,KBR,,2020-09-30,Industrials,4970535826,winner,1.636,0.3
MC-CACC-2022-03-31,CACC,,2022-03-31,Financials,5328154730,trap,-0.0618,0.28
MC-KNSL-2022-03-31,KNSL,,2022-03-31,Financials,7804444967,winner,1.1345,0.28
MC-AVT-2020-09-30,AVT,,2020-09-30,Information Technology,5294079260,winner,0.8649,0.3
MC-OLN-2022-03-31,OLN,,2022-03-31,Materials,3301122440,trap,-0.5363,0.28
MC-MSA-2022-03-31,MSA,,2022-03-31,Industrials,6582117333,underperform,0.1054,0.28
MC-SON-2022-03-31,SON,,2022-03-31,Materials,5265675533,trap,-0.2449,0.28
MC-ELF-2020-09-30,ELF,,2020-09-30,Consumer Staples,3771938748,winner,4.9788,0.3
MC-THG-2020-09-30,THG,,2020-09-30,Financials,6189428919,underperform,0.191,0.3
MC-GXO-2022-03-31,GXO,,2022-03-31,Industrials,6181472916,trap,-0.4522,0.28
MC-ARW-2020-09-30,ARW,,2020-09-30,Information Technology,7473160968,winner,0.5922,0.3
MC-FBIN-2020-09-30,FBIN,,2020-09-30,Industrials,4733910131,trap,-0.1594,0.3
MC-ST-2022-03-31,ST,,2022-03-31,Industrials,5313580956,trap,-0.5227,0.28
MC-THO-2022-03-31,THO,,2022-03-31,Consumer Discretionary,4334218036,trap,-0.0367,0.28
MC-CXT-2022-03-31,CXT,,2022-03-31,Information Technology,2370155216,mixed,0.3667,0.28
MC-OLED-2022-03-31,OLED,,2022-03-31,Information Technology,4440733140,trap,-0.1645,0.28
MC-SIRI-2020-09-30,SIRI,,2020-09-30,Communication,7774740638,trap,-0.1567,0.3
MC-SAIC-2022-03-31,SAIC,,2022-03-31,Industrials,4858822765,mixed,0.2181,0.28
MC-OLED-2020-09-30,OLED,,2020-09-30,Information Technology,4440733140,trap,-0.1314,0.3
MC-VVV-2020-09-30,VVV,,2020-09-30,Consumer Discretionary,4404032484,winner,0.6933,0.3
MC-CAR-2020-09-30,CAR,,2020-09-30,Industrials,4900715279,winner,5.8271,0.3
MC-TKR-2020-09-30,TKR,,2020-09-30,Industrials,6934311073,mixed,0.3554,0.3
MC-SON-2020-09-30,SON,,2020-09-30,Materials,5265675533,underperform,0.0642,0.3
MC-NNN-2022-03-31,NNN,,2022-03-31,Real Estate,7895986908,trap,-0.051,0.28
MC-GPK-2022-03-31,GPK,,2022-03-31,Materials,2804003149,mixed,0.2954,0.28
MC-LPX-2020-09-30,LPX,,2020-09-30,Materials,5050586645,winner,0.8729,0.3
MC-BILL-2022-03-31,BILL,,2022-03-31,Information Technology,3889274200,trap,-0.7977,0.28
MC-CHE-2022-03-31,CHE,,2022-03-31,Health Care,5444118884,mixed,0.2147,0.28
MC-THG-2022-03-31,THG,,2022-03-31,Financials,6189428919,underperform,0.1634,0.28
MC-CHH-2020-09-30,CHH,,2020-09-30,Consumer Discretionary,4744768677,mixed,0.4252,0.3
MC-FBIN-2022-03-31,FBIN,,2022-03-31,Industrials,4733910131,trap,-0.0411,0.28
MC-ESTC-2022-03-31,ESTC,,2022-03-31,Information Technology,5317336820,underperform,0.0017,0.28
MC-ST-2020-09-30,ST,,2020-09-30,Industrials,5313580956,trap,-0.1233,0.3
MC-RITM-2020-09-30,RITM,,2020-09-30,Financials,4847345591,underperform,0.1686,0.3
MC-LEA-2020-09-30,LEA,,2020-09-30,Consumer Discretionary,6541078693,mixed,0.2306,0.3
MC-HUN-2020-09-30,HUN,,2020-09-30,Materials,2170947263,underperform,0.0986,0.3
