case_id,run_number,score,confidence,trajectory
MC-ARW-2022-03-31,1,3.0,LOW,stable
MC-ARW-2022-03-31,2,3.0,LOW,stable
MC-ARW-2022-03-31,3,3.3,MEDIUM,stable
MC-CAR-2022-03-31,1,3.5,MEDIUM,improving
MC-CAR-2022-03-31,2,3.2,MEDIUM,improving
MC-CAR-2022-03-31,3,3.2,MEDIUM,stable
MC-CUZ-2020-09-30,1,3.1,MEDIUM,stable
MC-CUZ-2020-09-30,2,3.2,MEDIUM,stable
MC-CUZ-2020-09-30,3,3.2,MEDIUM,stable
MC-CUZ-2022-03-31,1,3.0,MEDIUM,stable
MC-CUZ-2022-03-31,2,3.0,MEDIUM,stable
MC-CUZ-2022-03-31,3,2.8,MEDIUM,deteriorating
MC-ESTC-2020-09-30,1,2.3,HIGH,deteriorating
MC-ESTC-2020-09-30,2,2.4,MEDIUM,deteriorating
MC-ESTC-2020-09-30,3,2.4,HIGH,deteriorating
MC-HIW-2022-03-31,1,3.2,MEDIUM,stable
MC-HIW-2022-03-31,2,3.1,MEDIUM,stable
MC-HIW-2022-03-31,3,3.1,MEDIUM,stable
MC-KBR-2020-09-30,1,3.1,LOW,stable
MC-KBR-2020-09-30,2,3.3,MEDIUM,stable
MC-KBR-2020-09-30,3,3.5,MEDIUM,improving
MC-KRC-2020-09-30,1,3.2,LOW,stable
MC-KRC-2020-09-30,2,3.4,MEDIUM,stable
MC-KRC-2020-09-30,3,3.2,MEDIUM,stable
MC-LAZ-2020-09-30,1,3.0,HIGH,stable
MC-LAZ-2020-09-30,2,3.0,HIGH,stable
MC-LAZ-2020-09-30,3,3.0,HIGH,stable
MC-MSM-2020-09-30,1,3.0,LOW,stable
MC-MSM-2020-09-30,2,3.1,LOW,stable
MC-MSM-2020-09-30,3,3.1,MEDIUM,stable
MC-MTN-2020-09-30,1,2.0,HIGH,deteriorating
MC-MTN-2020-09-30,2,1.8,HIGH,deteriorating
MC-MTN-2020-09-30,3,2.3,HIGH,deteriorating
MC-MTN-2022-03-31,1,3.4,MEDIUM,improving
MC-MTN-2022-03-31,2,3.3,MEDIUM,improving
MC-MTN-2022-03-31,3,2.5,HIGH,deteriorating
MC-NVST-2022-03-31,1,3.3,MEDIUM,stable
MC-NVST-2022-03-31,2,3.5,MEDIUM,improving
MC-NVST-2022-03-31,3,3.3,MEDIUM,improving
MC-PK-2020-09-30,1,3.0,MEDIUM,stable
MC-PK-2020-09-30,2,3.4,MEDIUM,stable
MC-PK-2020-09-30,3,2.8,MEDIUM,deteriorating
MC-PSN-2022-03-31,1,2.8,MEDIUM,stable
MC-PSN-2022-03-31,2,3.0,HIGH,stable
MC-PSN-2022-03-31,3,2.9,MEDIUM,stable
MC-REXR-2022-03-31,1,3.1,MEDIUM,stable
MC-REXR-2022-03-31,2,3.6,MEDIUM,stable
MC-REXR-2022-03-31,3,3.5,HIGH,improving
MC-THO-2022-03-31,1,3.4,MEDIUM,improving
MC-THO-2022-03-31,2,3.2,MEDIUM,improving
MC-THO-2022-03-31,3,2.9,MEDIUM,stable
MC-TKR-2022-03-31,1,2.7,MEDIUM,deteriorating
MC-TKR-2022-03-31,2,3.0,MEDIUM,stable
MC-TKR-2022-03-31,3,2.8,MEDIUM,deteriorating
MC-VKTX-2020-09-30,1,3.0,HIGH,stable
MC-VKTX-2020-09-30,2,2.8,MEDIUM,stable
MC-VKTX-2020-09-30,3,3.0,HIGH,stable
MC-VKTX-2022-03-31,1,3.0,MEDIUM,stable
MC-VKTX-2022-03-31,2,3.0,MEDIUM,stable
MC-VKTX-2022-03-31,3,3.4,MEDIUM,improving
